Customer_ID,Age,Gender,Tenure,Contract_Type,Internet_Service,Monthly_Charges,Total_Charges,Satisfaction_Score,Customer_Support_Calls,Churn,RF_Churn_Probability,LR_Churn_Probability,Ensemble_Probability,Predicted_Churn,Risk_Category
CUST-05015,43,Male,63,Month-to-Month,Fiber Optic,93.72,6157.93,2.9,2,No,70.87,96.53,83.7,Yes,High
CUST-02874,33,Female,23,Month-to-Month,DSL,51.87,1193.55,3.0,0,No,80.17,86.17,83.17,Yes,High
CUST-02142,42,Female,11,Month-to-Month,No,27.8,327.98,3.6,1,No,78.27,87.29,82.78,Yes,High
CUST-05204,52,Male,7,Month-to-Month,DSL,45.69,364.48,4.2,2,No,74.93,90.25,82.59,Yes,High
CUST-02102,29,Female,17,Month-to-Month,No,21.57,396.91,3.5,2,No,75.2,89.69,82.45,Yes,High
CUST-03266,69,Male,29,Month-to-Month,DSL,65.39,2035.11,2.6,2,No,71.04,93.76,82.4,Yes,High
CUST-03184,37,Female,11,Month-to-Month,DSL,48.24,578.79,1.8,3,No,74.69,89.95,82.32,Yes,High
CUST-04668,65,Female,24,Month-to-Month,DSL,60.11,1558.4,4.2,4,No,73.09,91.46,82.28,Yes,High
CUST-01971,50,Female,53,Month-to-Month,Fiber Optic,90.97,4521.45,5.0,3,No,73.43,90.76,82.09,Yes,High
CUST-04634,53,Male,42,Month-to-Month,DSL,43.35,1841.94,4.3,3,No,78.37,84.83,81.6,Yes,High
