Customer_ID,Age,Gender,Tenure,Contract_Type,Payment_Method,Internet_Service,Tech_Support,Streaming_Service,Online_Security,Customer_Support_Calls,Satisfaction_Score,Monthly_Charges,Total_Charges,Churn_Probability,Risk_Score,Risk_Category,Churn
CUST-00030,37,Male,72,Month-to-Month,Electronic Check,DSL,No Internet,Yes,Yes,3,3.2,34.11,2524.94,0.6028,60.3,Medium,No
CUST-00031,33,Female,26,Month-to-Month,Credit Card,DSL,No Internet,Yes,No,4,2.6,63.92,1721.48,0.5488,54.9,Medium,No
CUST-00032,67,Male,72,Two Year,Bank Transfer,DSL,No Internet,No,Yes,3,2.2,72.15,4886.53,0.2515,25.2,Low,No
CUST-00033,41,Male,5,One Year,Mailed Check,Fiber Optic,No Internet,No,Yes,2,2.2,103.88,618.96,0.4074,40.7,Medium,No
CUST-00034,27,Male,47,Month-to-Month,Mailed Check,Fiber Optic,No,Yes,No,1,3.0,87.93,4384.59,0.7466,74.7,High,Yes
CUST-00035,53,Male,9,One Year,Electronic Check,No,Yes,No Internet,No,2,3.6,28.2,253.99,0.2945,29.4,Low,No
CUST-00036,24,Female,72,Two Year,Mailed Check,No,No,No,No,2,1.3,30.24,2309.42,0.1789,17.9,Low,No
CUST-00037,44,Male,4,Two Year,Mailed Check,Fiber Optic,No,No,No Internet,1,4.0,99.96,472.03,0.3394,33.9,Low,No
CUST-00038,18,Male,17,One Year,Electronic Check,DSL,No,No Internet,Yes,2,2.0,56.93,1015.65,0.3917,39.2,Low,No
CUST-00039,23,Female,37,Month-to-Month,Electronic Check,DSL,No Internet,Yes,Yes,4,2.4,55.76,1995.21,0.6675,66.8,Medium,Yes
CUST-00040,44,Female,13,Two Year,Mailed Check,Fiber Optic,No Internet,No,No,3,2.9,59.9,846.68,0.3422,34.2,Low,No
CUST-00041,52,Male,15,Month-to-Month,Bank Transfer,DSL,No,No,No Internet,1,3.6,56.93,890.27,0.531,53.1,Medium,No
CUST-00042,44,Male,72,Two Year,Electronic Check,DSL,No,Yes,No,3,4.9,68.44,4693.55,0.2831,28.3,Low,No
CUST-00043,40,Male,13,Month-to-Month,Bank Transfer,Fiber Optic,No Internet,Yes,Yes,1,2.7,64.27,877.75,0.7553,75.5,High,Yes
CUST-00044,37,Female,22,Month-to-Month,Credit Card,Fiber Optic,Yes,No Internet,No,4,4.4,94.76,2076.49,0.7093,70.9,High,Yes
CUST-00045,21,Female,1,Month-to-Month,Mailed Check,DSL,Yes,Yes,No Internet,6,2.8,61.68,115.64,0.4509,45.1,Medium,No
CUST-00046,31,Female,44,Month-to-Month,Credit Card,Fiber Optic,No Internet,No Internet,Yes,6,4.7,107.35,4777.22,0.6547,65.5,Medium,Yes
CUST-00047,35,Female,25,One Year,Credit Card,Fiber Optic,No,No,Yes,5,3.1,82.58,2137.93,0.4533,45.3,Medium,No
CUST-00048,56,Female,12,Two Year,Electronic Check,DSL,No,No,No,4,1.6,54.17,648.63,0.5217,52.2,Medium,No
CUST-00049,46,Female,0,One Year,Electronic Check,DSL,No Internet,Yes,Yes,3,2.4,53.24,55.34,0.2979,29.8,Low,No
CUST-00050,18,Male,21,Two Year,Mailed Check,Fiber Optic,No,No,No,1,3.2,67.23,1332.63,0.4433,44.3,Medium,No
CUST-00051,46,Male,0,Month-to-Month,Bank Transfer,No,No,Yes,Yes,3,3.0,24.43,23.0,0.5061,50.6,Medium,No
CUST-00052,36,Female,0,One Year,Mailed Check,DSL,No,Yes,Yes,5,2.1,38.28,36.42,0.2601,26.0,Low,No
CUST-00053,32,Male,22,Two Year,Electronic Check,Fiber Optic,Yes,No Internet,No,2,1.7,85.65,1792.59,0.5876,58.8,Medium,No
CUST-00054,50,Male,5,One Year,Bank Transfer,Fiber Optic,Yes,No,Yes,3,4.1,81.56,447.03,0.3652,36.5,Low,No
CUST-00055,56,Female,5,Month-to-Month,Electronic Check,DSL,No Internet,No,Yes,1,1.0,58.56,360.89,0.7659,76.6,High,Yes
CUST-00056,55,Male,25,One Year,Credit Card,Fiber Optic,Yes,No Internet,No Internet,5,3.8,94.23,2337.96,0.377,37.7,Low,No
CUST-00057,30,Female,1,One Year,Electronic Check,DSL,Yes,Yes,Yes,1,2.0,59.44,113.51,0.3497,35.0,Low,No
CUST-00058,37,Female,9,Month-to-Month,Credit Card,DSL,No,No,No,0,5.0,66.54,667.59,0.4512,45.1,Medium,No
CUST-00059,46,Male,3,Two Year,Electronic Check,DSL,Yes,No,No Internet,2,1.0,57.36,231.42,0.3565,35.7,Low,No
CUST-00060,55,Female,20,Two Year,Electronic Check,DSL,No Internet,No,Yes,3,1.0,56.94,1203.07,0.3747,37.5,Low,No
CUST-00061,35,Male,26,Month-to-Month,Electronic Check,DSL,Yes,No Internet,Yes,2,2.7,68.38,1791.5,0.6908,69.1,Medium,Yes
CUST-00062,39,Male,30,One Year,Credit Card,Fiber Optic,No,No Internet,No,2,4.3,88.94,2773.69,0.3587,35.9,Low,No
CUST-00063,26,Female,7,One Year,Electronic Check,Fiber Optic,No,No,No,4,5.0,96.01,797.72,0.593,59.3,Medium,No
CUST-00064,25,Female,2,One Year,Bank Transfer,DSL,No Internet,No,No,2,4.3,29.14,80.45,0.1579,15.8,Low,No
CUST-00065,53,Female,1,Month-to-Month,Credit Card,DSL,No,No,No Internet,3,3.4,50.7,100.0,0.6151,61.5,Medium,No
CUST-00066,60,Male,13,Two Year,Bank Transfer,DSL,No,No,Yes,1,2.1,48.08,694.53,0.2486,24.9,Low,No
CUST-00067,40,Female,69,Month-to-Month,Mailed Check,Fiber Optic,No Internet,No,No,2,2.4,80.73,5904.58,0.6173,61.7,Medium,No
CUST-00068,56,Male,5,Month-to-Month,Credit Card,No,Yes,Yes,No Internet,4,2.5,24.22,132.71,0.5385,53.8,Medium,No
CUST-00069,47,Female,7,Two Year,Credit Card,Fiber Optic,No,Yes,Yes,2,2.8,67.13,559.85,0.537,53.7,Medium,No
CUST-00070,32,Male,2,One Year,Mailed Check,Fiber Optic,No Internet,No Internet,Yes,1,2.9,95.94,290.4,0.2707,27.1,Low,No
CUST-00071,47,Female,22,Two Year,Bank Transfer,Fiber Optic,No,Yes,No,0,3.4,66.28,1537.7,0.4812,48.1,Medium,No
CUST-00072,63,Male,27,Month-to-Month,Credit Card,Fiber Optic,No,No,No Internet,1,2.6,98.68,2547.9,0.7427,74.3,High,Yes
CUST-00073,41,Male,24,Month-to-Month,Credit Card,DSL,Yes,No Internet,Yes,2,3.4,62.73,1546.88,0.3959,39.6,Low,No
CUST-00074,63,Male,47,Two Year,Mailed Check,Fiber Optic,Yes,Yes,No,3,3.6,66.05,3023.88,0.2836,28.4,Low,No
CUST-00075,18,Female,15,Month-to-Month,Credit Card,Fiber Optic,Yes,No,Yes,5,2.0,86.74,1370.96,0.7508,75.1,High,Yes
CUST-00076,53,Female,3,Two Year,Electronic Check,Fiber Optic,No Internet,Yes,No,0,1.8,94.82,383.3,0.5337,53.4,Medium,No
CUST-00077,43,Female,8,Two Year,Mailed Check,DSL,No Internet,No Internet,Yes,0,4.4,66.58,555.78,0.1294,12.9,Low,No
CUST-00078,37,Male,26,One Year,Electronic Check,No,No,Yes,No,2,3.3,18.0,448.55,0.2643,26.4,Low,No
CUST-00079,43,Male,22,Month-to-Month,Electronic Check,No,No,No,No,3,3.0,22.44,492.13,0.7595,75.9,High,Yes
CUST-00080,18,Male,18,One Year,Bank Transfer,Fiber Optic,Yes,No,No Internet,1,1.6,112.71,2133.67,0.4355,43.6,Medium,No
CUST-00081,38,Female,27,Two Year,Mailed Check,DSL,No,No Internet,No Internet,1,4.0,42.33,1186.51,0.101,10.1,Low,No
CUST-00082,46,Male,24,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,No Internet,6,3.2,92.49,2292.19,0.9066,90.7,High,Yes
CUST-00083,62,Female,51,Month-to-Month,Mailed Check,Fiber Optic,No,No,Yes,8,4.8,97.37,5202.08,0.7179,71.8,High,Yes
CUST-00084,34,Female,21,Month-to-Month,Mailed Check,No,No Internet,Yes,Yes,4,3.4,24.23,538.51,0.4082,40.8,Medium,No
CUST-00085,30,Female,36,Month-to-Month,Credit Card,DSL,No,Yes,No,0,2.9,60.03,2167.15,0.5553,55.5,Medium,No
CUST-00086,34,Female,6,Two Year,Credit Card,Fiber Optic,No,No,No,1,2.5,95.08,647.18,0.5376,53.8,Medium,No
CUST-00087,54,Female,27,Two Year,Mailed Check,Fiber Optic,No,Yes,No,4,4.9,76.82,2193.24,0.3898,39.0,Low,No
CUST-00088,46,Female,55,Two Year,Credit Card,Fiber Optic,No,No,Yes,3,4.3,107.96,6242.82,0.4128,41.3,Medium,No
CUST-00089,34,Male,11,One Year,Mailed Check,Fiber Optic,No,No Internet,No,4,3.4,79.28,977.39,0.3282,32.8,Low,No
CUST-00090,49,Female,36,One Year,Bank Transfer,DSL,No,No Internet,Yes,2,4.2,77.79,2804.7,0.1304,13.0,Low,No
CUST-00091,43,Male,30,Month-to-Month,Credit Card,Fiber Optic,Yes,No,No,1,3.6,82.27,2516.91,0.5865,58.7,Medium,No
CUST-00092,55,Male,1,One Year,Mailed Check,No,No,Yes,Yes,1,1.2,28.42,57.86,0.3127,31.3,Low,No
CUST-00093,32,Male,20,One Year,Bank Transfer,DSL,No Internet,No,No Internet,3,4.2,35.9,744.03,0.2047,20.5,Low,No
CUST-00094,37,Male,3,Two Year,Electronic Check,No,No,No Internet,Yes,2,4.0,30.11,112.46,0.4017,40.2,Medium,No
CUST-00095,36,Male,72,Two Year,Electronic Check,DSL,No Internet,No Internet,No Internet,0,2.0,51.8,3906.26,0.2672,26.7,Low,No
CUST-00096,21,Male,40,Two Year,Bank Transfer,DSL,Yes,No,No Internet,4,3.8,54.24,2166.03,0.0811,8.1,Low,No
CUST-00097,46,Female,2,Two Year,Credit Card,DSL,No Internet,No Internet,No,1,2.3,75.19,236.24,0.1173,11.7,Low,No
CUST-00098,45,Male,3,Two Year,Mailed Check,Fiber Optic,No Internet,No Internet,No Internet,2,2.7,65.83,258.84,0.4782,47.8,Medium,No
CUST-00099,42,Female,21,Month-to-Month,Credit Card,DSL,No,No Internet,Yes,2,3.4,46.59,981.97,0.4709,47.1,Medium,No
CUST-00100,38,Male,10,Two Year,Credit Card,Fiber Optic,No Internet,No,No,2,3.3,65.56,672.12,0.2684,26.8,Low,No
CUST-00101,22,Female,0,One Year,Electronic Check,Fiber Optic,No,No Internet,No Internet,2,3.1,87.03,82.83,0.6166,61.7,Medium,No
CUST-00102,36,Female,18,Month-to-Month,Mailed Check,DSL,Yes,No Internet,Yes,4,1.4,58.93,1044.75,0.5897,59.0,Medium,No
CUST-00103,37,Female,11,Month-to-Month,Bank Transfer,DSL,Yes,Yes,No,2,3.3,56.92,709.16,0.5293,52.9,Medium,No
CUST-00104,30,Female,2,One Year,Mailed Check,No,No,No Internet,No,2,5.0,20.17,59.91,0.2068,20.7,Low,No
CUST-00105,39,Male,38,Month-to-Month,Electronic Check,Fiber Optic,No Internet,Yes,No,3,3.5,75.87,3027.07,0.8301,83.0,High,Yes
CUST-00106,47,Female,59,Month-to-Month,Credit Card,DSL,Yes,No,No Internet,4,3.0,52.63,2940.68,0.4452,44.5,Medium,No
CUST-00107,68,Male,33,One Year,Bank Transfer,No,No,No Internet,No,2,4.0,18.62,575.67,0.1707,17.1,Low,No
CUST-00108,44,Male,41,Two Year,Mailed Check,Fiber Optic,No,No,Yes,1,3.4,94.81,3834.03,0.4026,40.3,Medium,No
CUST-00109,45,Female,5,Two Year,Bank Transfer,Fiber Optic,Yes,No Internet,No Internet,1,2.7,100.17,625.32,0.3238,32.4,Low,No
CUST-00110,40,Male,7,Month-to-Month,Electronic Check,Fiber Optic,Yes,No,Yes,3,4.2,93.56,686.33,0.9206,92.1,High,Yes
CUST-00111,18,Female,5,Month-to-Month,Mailed Check,No,No,Yes,No Internet,2,3.5,19.09,116.63,0.4781,47.8,Medium,No
CUST-00112,41,Female,34,Month-to-Month,Credit Card,Fiber Optic,Yes,Yes,No Internet,3,3.6,90.36,2874.42,0.6115,61.1,Medium,No
CUST-00113,42,Male,70,Month-to-Month,Credit Card,Fiber Optic,Yes,No,No Internet,0,3.0,89.89,5902.11,0.6163,61.6,Medium,No
CUST-00114,76,Male,30,Month-to-Month,Electronic Check,DSL,Yes,No,No,3,3.1,60.13,1881.72,0.5756,57.6,Medium,No
CUST-00115,39,Male,51,Two Year,Mailed Check,No,Yes,Yes,No,5,4.1,21.39,1036.25,0.2113,21.1,Low,No
CUST-00116,46,Female,24,One Year,Bank Transfer,No,No,No,No,2,2.6,18.0,406.49,0.2413,24.1,Low,No
CUST-00117,41,Female,11,Month-to-Month,Mailed Check,Fiber Optic,No,Yes,No,2,5.0,97.88,1095.76,0.7755,77.6,High,Yes
CUST-00118,25,Male,13,Month-to-Month,Electronic Check,No,No,No,Yes,5,2.6,18.0,254.5,0.7323,73.2,High,Yes
CUST-00119,57,Male,1,Month-to-Month,Mailed Check,Fiber Optic,No,Yes,No,3,2.5,99.08,194.16,0.7187,71.9,High,Yes
CUST-00120,52,Female,0,Month-to-Month,Bank Transfer,Fiber Optic,No Internet,No,No,7,4.3,84.06,82.55,0.7507,75.1,High,Yes
CUST-00121,53,Female,28,Month-to-Month,Electronic Check,No,No Internet,Yes,No,0,3.2,20.35,567.47,0.6171,61.7,Medium,No
CUST-00122,29,Male,13,Two Year,Electronic Check,DSL,No Internet,Yes,No,4,3.9,37.57,484.89,0.3516,35.2,Low,No
CUST-00123,61,Male,19,Month-to-Month,Electronic Check,Fiber Optic,No,No Internet,No,3,4.9,72.35,1349.08,0.8578,85.8,High,Yes
CUST-00124,22,Female,19,Month-to-Month,Mailed Check,DSL,No Internet,No,No,5,3.6,62.46,1158.97,0.4991,49.9,Medium,No
CUST-00125,50,Male,7,Month-to-Month,Mailed Check,DSL,No,No,No,3,3.6,50.52,406.62,0.61,61.0,Medium,No
CUST-00126,72,Male,15,One Year,Electronic Check,No,No,No,Yes,2,2.6,24.96,410.17,0.3754,37.5,Low,No
CUST-00127,28,Female,15,Month-to-Month,Electronic Check,No,Yes,No,No,1,2.3,20.46,306.29,0.6379,63.8,Medium,Yes
CUST-00128,34,Female,11,Month-to-Month,Credit Card,DSL,No,No,Yes,0,1.5,46.36,515.08,0.5135,51.4,Medium,No
CUST-00129,43,Male,41,Month-to-Month,Electronic Check,No,Yes,No,No,2,2.4,24.26,955.5,0.6491,64.9,Medium,Yes
CUST-00130,34,Male,14,One Year,Mailed Check,DSL,No,No,Yes,2,2.7,51.4,802.47,0.1768,17.7,Low,No
CUST-00131,20,Male,22,Month-to-Month,Credit Card,DSL,No,Yes,No,4,2.4,33.57,719.64,0.6497,65.0,Medium,Yes
CUST-00132,42,Male,54,Month-to-Month,Bank Transfer,DSL,No,Yes,Yes,5,2.9,66.99,3697.33,0.5923,59.2,Medium,No
CUST-00133,27,Female,48,Month-to-Month,Bank Transfer,Fiber Optic,No Internet,No Internet,Yes,4,2.7,87.54,3935.63,0.6388,63.9,Medium,Yes
CUST-00134,48,Male,53,Month-to-Month,Mailed Check,Fiber Optic,No,No Internet,No,1,4.1,113.46,6120.96,0.6731,67.3,Medium,Yes
CUST-00135,29,Female,7,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,Yes,4,1.8,67.3,504.31,0.9122,91.2,High,Yes
CUST-00136,63,Female,0,Month-to-Month,Bank Transfer,DSL,No,Yes,No,2,4.3,56.07,57.5,0.4623,46.2,Medium,No
CUST-00137,31,Male,7,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,No Internet,3,4.0,102.02,737.39,0.7939,79.4,High,Yes
CUST-00138,37,Male,7,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,2,2.2,77.09,601.33,0.8728,87.3,High,Yes
CUST-00139,53,Female,57,Month-to-Month,Mailed Check,Fiber Optic,No Internet,Yes,No,8,1.8,78.41,4545.49,0.7351,73.5,High,Yes
CUST-00140,24,Female,25,Month-to-Month,Credit Card,Fiber Optic,No,No,No Internet,5,3.8,113.68,2989.75,0.8825,88.3,High,Yes
CUST-00141,45,Female,2,Month-to-Month,Electronic Check,DSL,No,No Internet,Yes,1,3.8,59.08,183.45,0.678,67.8,Medium,Yes
CUST-00142,60,Male,3,Two Year,Mailed Check,Fiber Optic,No,No Internet,No,4,2.3,93.63,372.23,0.5625,56.3,Medium,No
CUST-00143,19,Female,4,One Year,Mailed Check,Fiber Optic,No Internet,Yes,No,2,1.7,89.8,412.76,0.448,44.8,Medium,No
CUST-00144,44,Female,23,Two Year,Credit Card,DSL,No Internet,No Internet,Yes,2,2.8,54.86,1327.87,0.2253,22.5,Low,No
CUST-00145,45,Female,31,Two Year,Credit Card,No,No,No,Yes,2,1.0,18.0,564.02,0.2098,21.0,Low,No
CUST-00146,52,Male,47,Two Year,Bank Transfer,Fiber Optic,No,Yes,No,4,3.8,87.95,3862.52,0.3929,39.3,Low,No
CUST-00147,24,Female,67,One Year,Mailed Check,Fiber Optic,No,No,No Internet,2,2.5,75.03,4699.25,0.4526,45.3,Medium,No
CUST-00148,23,Female,5,One Year,Electronic Check,No,No Internet,No,No Internet,3,3.4,18.0,110.62,0.2825,28.2,Low,No
CUST-00149,49,Male,8,Month-to-Month,Mailed Check,Fiber Optic,No,No Internet,No,4,5.0,74.83,663.25,0.7262,72.6,High,Yes
CUST-00150,46,Male,6,Month-to-Month,Bank Transfer,No,Yes,Yes,No,0,2.8,37.01,239.3,0.4995,49.9,Medium,No
CUST-00151,45,Male,10,One Year,Bank Transfer,Fiber Optic,No,Yes,No,6,3.9,64.97,727.73,0.4568,45.7,Medium,No
CUST-00152,46,Male,59,Two Year,Credit Card,Fiber Optic,No,No,No,0,2.9,94.89,5624.92,0.4212,42.1,Medium,No
CUST-00153,32,Male,20,Month-to-Month,Mailed Check,Fiber Optic,No,No Internet,Yes,3,2.7,106.82,2075.22,0.8032,80.3,High,Yes
CUST-00154,45,Female,32,One Year,Bank Transfer,Fiber Optic,Yes,No Internet,No,1,4.9,71.93,2296.46,0.2466,24.7,Low,No
CUST-00155,46,Male,16,Month-to-Month,Mailed Check,No,Yes,Yes,No,2,2.6,18.0,318.04,0.3248,32.5,Low,No
CUST-00156,31,Male,0,Month-to-Month,Electronic Check,No,No,Yes,No,2,3.8,18.0,18.23,0.7014,70.1,High,Yes
CUST-00157,68,Female,1,Month-to-Month,Mailed Check,No,No Internet,No Internet,No,3,3.5,32.63,62.52,0.504,50.4,Medium,No
CUST-00158,48,Male,18,Month-to-Month,Mailed Check,No,No Internet,No,No,1,3.7,24.43,418.12,0.3778,37.8,Low,No
CUST-00159,25,Male,30,Month-to-Month,Credit Card,No,No,No Internet,Yes,7,3.9,27.44,794.41,0.5163,51.6,Medium,No
CUST-00160,51,Female,5,One Year,Mailed Check,DSL,No Internet,No Internet,Yes,2,3.8,43.43,241.59,0.1606,16.1,Low,No
CUST-00161,28,Female,30,Two Year,Credit Card,No,Yes,Yes,No Internet,3,2.6,30.26,897.4,0.13,13.0,Low,No
CUST-00162,53,Female,39,Two Year,Mailed Check,Fiber Optic,No,No,Yes,4,2.7,71.35,2946.4,0.3772,37.7,Low,No
CUST-00163,58,Female,12,Month-to-Month,Electronic Check,Fiber Optic,Yes,Yes,Yes,2,3.5,69.87,842.0,0.8893,88.9,High,Yes
CUST-00164,30,Male,32,Two Year,Electronic Check,DSL,No,No Internet,No,3,1.2,63.09,1889.31,0.4319,43.2,Medium,No
CUST-00165,55,Female,12,Month-to-Month,Electronic Check,No,No Internet,No,No,2,3.6,30.69,366.93,0.6567,65.7,Medium,Yes
CUST-00166,47,Male,27,Month-to-Month,Mailed Check,DSL,No Internet,No Internet,No,3,2.6,42.52,1151.19,0.4305,43.1,Medium,No
CUST-00167,53,Female,34,One Year,Electronic Check,No,No,No Internet,No,3,4.3,20.07,639.32,0.3222,32.2,Low,No
CUST-00168,68,Male,72,Month-to-Month,Mailed Check,DSL,No,Yes,No Internet,4,1.0,55.76,4003.23,0.6342,63.4,Medium,Yes
CUST-00169,38,Female,10,Month-to-Month,Credit Card,DSL,No Internet,Yes,Yes,1,3.7,54.48,563.97,0.4039,40.4,Medium,No
CUST-00170,31,Female,12,Month-to-Month,Bank Transfer,No,Yes,No,No,2,3.5,26.39,328.06,0.3292,32.9,Low,No
CUST-00171,29,Female,4,One Year,Bank Transfer,Fiber Optic,No Internet,No Internet,No,4,3.4,74.72,344.99,0.3428,34.3,Low,No
CUST-00172,30,Male,5,Month-to-Month,Electronic Check,No,Yes,No Internet,Yes,1,4.7,30.11,182.8,0.5776,57.8,Medium,No
CUST-00173,40,Male,28,One Year,Mailed Check,DSL,No Internet,No Internet,No,0,3.2,58.53,1624.73,0.1676,16.8,Low,No
CUST-00174,46,Female,59,One Year,Electronic Check,DSL,Yes,No,No,4,3.5,49.82,2741.9,0.265,26.5,Low,No
CUST-00175,45,Female,12,One Year,Credit Card,No,Yes,Yes,No,2,1.9,28.06,348.08,0.1528,15.3,Low,No
CUST-00176,53,Male,4,Two Year,Electronic Check,Fiber Optic,No,Yes,No Internet,1,3.3,71.71,375.59,0.5666,56.7,Medium,No
CUST-00177,42,Female,8,Month-to-Month,Mailed Check,Fiber Optic,Yes,Yes,No,1,2.9,95.99,870.04,0.7423,74.2,High,Yes
CUST-00178,62,Female,14,Month-to-Month,Bank Transfer,DSL,Yes,No,No,4,2.9,58.93,910.82,0.5442,54.4,Medium,No
CUST-00179,38,Male,8,Month-to-Month,Mailed Check,Fiber Optic,No,No Internet,No Internet,1,1.4,73.9,687.58,0.7271,72.7,High,Yes
CUST-00180,80,Female,6,Month-to-Month,Credit Card,DSL,No Internet,Yes,No,3,5.0,62.49,429.7,0.4427,44.3,Medium,No
CUST-00181,50,Female,31,One Year,Electronic Check,Fiber Optic,Yes,No Internet,No,1,2.1,105.63,3324.49,0.4468,44.7,Medium,No
CUST-00182,29,Male,0,Month-to-Month,Mailed Check,No,No Internet,No,No,0,2.9,32.18,33.34,0.4883,48.8,Medium,No
CUST-00183,27,Male,18,Month-to-Month,Credit Card,Fiber Optic,No Internet,Yes,No,3,1.6,70.94,1389.63,0.7577,75.8,High,Yes
CUST-00184,48,Female,37,One Year,Mailed Check,DSL,No,No,No,0,1.6,65.95,2524.78,0.2676,26.8,Low,No
CUST-00185,38,Female,7,One Year,Mailed Check,No,No,No,Yes,2,1.6,37.54,307.32,0.2815,28.2,Low,No
CUST-00186,51,Male,22,One Year,Electronic Check,No,Yes,No Internet,No Internet,4,4.9,31.27,727.27,0.1714,17.1,Low,No
CUST-00187,48,Female,26,Two Year,Bank Transfer,DSL,No,No,No,6,1.4,33.9,866.03,0.3065,30.7,Low,No
CUST-00188,40,Female,25,One Year,Credit Card,DSL,Yes,Yes,No,0,2.6,40.37,963.67,0.2044,20.4,Low,No
CUST-00189,30,Female,14,One Year,Bank Transfer,Fiber Optic,Yes,No Internet,Yes,2,2.8,67.57,1021.23,0.412,41.2,Medium,No
CUST-00190,20,Male,10,Month-to-Month,Credit Card,Fiber Optic,No,No Internet,No,2,2.4,78.84,898.33,0.7211,72.1,High,Yes
CUST-00191,35,Female,43,Two Year,Mailed Check,Fiber Optic,No,No,No Internet,1,2.2,74.6,3435.95,0.3861,38.6,Low,No
CUST-00192,53,Male,34,One Year,Electronic Check,DSL,No,Yes,No Internet,4,2.7,46.44,1474.78,0.4519,45.2,Medium,No
